"","date","deflator"
"1",2022,1.072
"2",2021,1.126672
"3",2020,1.125545328
"4",2019,1.182948139728
"5",2018,1.20779005066229
"6",2017,1.23073806162487
"7",2016,1.25412208479574
"8",2015,1.27920452649166
"9",2014,1.2881589581771
"10",2013,1.3049050246334
"11",2012,1.3323080301507
"12",2011,1.35229265060296
"13",2010,1.38204308891623
"14",2009,1.40415577833889
"15",2008,1.43083473812733
"16",2007,1.47948311922366
"17",2006,1.5135112309658
"18",2005,1.55588954543284
"19",2004,1.6010103422504
"20",2003,1.64263661114891
"21",2002,1.68205988981648
"22",2001,1.71738314750263
"23",2000,1.74314389471517
"24",1999,1.76231847755703
"25",1998,1.78699093624283
"26",1997,1.81022181841399
"27",1996,1.80841159659557
"28",1995,1.88255647205599
"29",1994,1.93150294032945
"30",1993,1.96626999325538
"31",1992,2.02525809305304
"32",1991,2.09209161012379
"33",1990,2.23226174800208
"34",1989,2.42200399658226
"35",1988,2.61576431630884
"36",1987,2.77532593960368
"37",1986,2.92796886628188
"38",1985,3.05972746526457
"39",1984,3.22495274838886
"40",1983,3.39265029130508
"41",1982,3.58263870761816
"42",1981,3.86924980422761
"43",1980,4.34903677995184
"44",1979,5.22319317272216
"45",1978,5.97533298959415
"46",1977,6.68042228236626
"47",1976,7.60900097961517
"48",1975,8.78839613145552
"49",1974,11.0821675217654
"50",1973,12.8774786602914
"51",1972,14.010696782397
"52",1971,15.0614990410768
"53",1970,16.3116034614862
"54",1969,17.8775173937889
"55",1968,19.0574335417789
"56",1967,19.8578457505336
"57",1966,20.4337232772991
"58",1965,21.516710610996
"59",1964,22.7861965370447
"60",1963,23.6064996123784
"61",1962,23.960597106564
"62",1961,24.8231786024003
"63",1960,25.7664593892916
"64",1959,26.0241239831845
"65",1958,26.2062928510668
"66",1957,27.1759256865562
"67",1956,28.2629627140185
"68",1955,30.2131071412858
"69",1954,31.6331231769262
"70",1953,31.9810875318724
"71",1952,32.5247660199142
"72",1951,34.8014996413082
"73",1950,37.6552226118955
"74",1949,38.1447405058501
"75",1948,39.3272274615315
